"Column 1","Column 2","Column 3","Column 4","Column 5"
"adam","adam","","",""
"adam khan","adam khan","","",""
"adam khan kelay","adam khan kelay","","",""
"adam khan kili","adam khan kili","","",""
"adam khel","adam khel","","",""
"adam kheyl","adam kheyl","","",""
"adam kili","adam kili","","",""
"adama","adama","","",""
"adamas","adamas","","",""
"adamchuki","adamchuki","","",""
"adame","adame","","",""
"adamesti","adamesti","","",""
"adami","adami","","",""
"adamierz","adamierz","","",""
"adamivka","adamivka","","",""
"adamkhan kalay","adamkhan kalay","","",""
"adamkhel","adamkhel","","",""
"adamkheyl","adamkheyl","","",""
"adamkheyl'","adamkheyl'","","",""
"adamo","adamo","","",""
"adamou","adamou","","",""
"adamov","adamov","","",""
"adamova","adamova","","",""
"adamovici","adamovici","","",""
"adamovka","adamovka","","",""
"adamovo","adamovo","","",""
"adamovskiy","adamovskiy","","",""
"adamow","adamow","","",""
"adamowice","adamowice","","",""
"adamowka","adamowka","","",""
"adamowo","adamowo","","",""
"adampane","adampane","","",""
"adampol","adampol","","",""
"adampur","adampur","","",""
"adams","adams","","",""
"adams corner","adams corner","","",""
"adams crossing","adams crossing","","",""
"adams crossroads","adams crossroads","","",""
"adams grove","adams grove","","",""
"adams landing","adams landing","","",""
"adams mill","adams mill","","",""
"adams park","adams park","","",""
"adamsburg","adamsburg","","",""
"adamsdale","adamsdale","","",""
"adamson","adamson","","",""
"adamsthal","adamsthal","","",""
"adamston","adamston","","",""
"adamstown","adamstown","","",""
"adamsville","adamsville","","",""
"adamtanya","adamtanya","","",""
"adamu","adamu","","",""
"adamuvka","adamuvka","","",""
"adamzai","adamzai","","",""
"adan","adan","","",""
"adana","adana","","",""
"adancata","adancata","","",""
"adanda","adanda","","",""
"adang","adang","","",""
"adani","adani","","",""
"adanka","adanka","","",""
"adansi","adansi","","",""
"adaou","adaou","","",""
"adapo","adapo","","",""
"adar","adar","","",""
"adara","adara","","",""
"adaran","adaran","","",""
"adarawa","adarawa","","",""
"adare","adare","","",""
"adari","adari","","",""
"adas","adas","","",""
"adasan","adasan","","",""
"adaseni","adaseni","","",""
"adashevo","adashevo","","",""
"adasi","adasi","","",""
"adat","adat","","",""
"adata","adata","","",""
"adatepe","adatepe","","",""
"adatepe koyu","adatepe koyu","","",""
"adatepekoy","adatepekoy","","",""
"adau","adau","","",""
"adaviran","adaviran","","",""
"adawa","adawa","","",""
"adawso","adawso","","",""
"aday","aday","","",""
"adayevka","adayevka","","",""
"adayevo","adayevo","","",""
"adazi","adazi","","",""
"adda","adda","","",""
"addah","addah","","",""
"addar","addar","","",""
"adde","adde","","",""
"adderley","adderley","","",""
"addia","addia","","",""
"addie","addie","","",""
"addingham","addingham","","",""
"addington","addington","","",""
"addis alem","addis alem","","",""
"addisc addi","addisc addi","","",""
"addison","addison","","",""
"addison heights","addison heights","","",""
"addo","addo","","",""
"addouz","addouz","","",""
"adebo","adebo","","",""
"adedokun","adedokun","","",""
"adega","adega","","",""
"adegas","adegas","","",""
"adegbite","adegbite","","",""
"adegya","adegya","","",""
"adeja","adeja","","",""
"adeje","adeje","","",""
"adeko","adeko","","",""
"adekunle","adekunle","","",""
"adel","adel","","",""
"adela","adela","","",""
"adelaida","adelaida","","",""
"adelaide","adelaide","","",""
"adelanto","adelanto","","",""
"adelberg","adelberg","","",""
"adele","adele","","",""
"adeleke","adeleke","","",""
"adeleye","adeleye","","",""
"adelhausen","adelhausen","","",""
"adeli","adeli","","",""
"adelia","adelia","","",""
"adelin","adelin","","",""
"adelina","adelina","","",""
"adeline","adeline","","",""
"adelino","adelino","","",""
"adell","adell","","",""
"adelokun","adelokun","","",""
"adelphi","adelphi","","",""
"adelphia","adelphia","","",""
"adelsberg","adelsberg","","",""
"adelsdorf","adelsdorf","","",""
"adelshausen","adelshausen","","",""
"adelshofen","adelshofen","","",""
"adem","adem","","",""
"ademi","ademi","","",""
"aden","aden","","",""
"adena","adena","","",""
"adendorf","adendorf","","",""
"adeng","adeng","","",""
"adenna","adenna","","",""
"adenrele","adenrele","","",""
"adeogun","adeogun","","",""
"adeoye","adeoye","","",""
"ader","ader","","",""
"aderawa","aderawa","","",""
"aderdour","aderdour","","",""
"adere","adere","","",""
"adersbach","adersbach","","",""
"aderu","aderu","","",""
"adesse","adesse","","",""
"adet","adet","","",""
"akova","akova","","",""
"adetere","adetere","","",""
"adewole","adewole","","",""
"adeyemi","adeyemi","","",""
"adgao","adgao","","",""
"adger","adger","","",""
"adh dhahabiyah","adh dhahabiyah","","",""
"adh dhibiyah","adh dhibiyah","","",""
"adh dhira`","adh dhira`","","",""
"adh dhunaybah","adh dhunaybah","","",""
"adhamas","adhamas","","",""
"adhan","adhan","","",""
"adhara","adhara","","",""
"adhin","adhin","","",""
"adhriani","adhriani","","",""
"adi agwa","adi agwa","","",""
"adi aro","adi aro","","",""
"adi gebru","adi gebru","","",""
"adi itai","adi itai","","",""
"adi k'eyih","adi k'eyih","","",""
"adi nefas","adi nefas","","",""
"adi selam","adi selam","","",""
"adia","adia","","",""
"adiabo","adiabo","","",""
"adial","adial","","",""
"adiala","adiala","","",""
"adiaman","adiaman","","",""
"adiambra","adiambra","","",""
"adianbadja","adianbadja","","",""
"adianbaja","adianbaja","","",""
"adiao","adiao","","",""
"adiarsa","adiarsa","","",""
"adiba","adiba","","",""
"adibo","adibo","","",""
"adidiema","adidiema","","",""
"adido","adido","","",""
"adidome","adidome","","",""
"adiekro","adiekro","","",""
"adiekrou","adiekrou","","",""
"adiembra","adiembra","","",""
"adiga","adiga","","",""
"adigi","adigi","","",""
"adigun","adigun","","",""
"adiguzel","adiguzel","","",""
"adikro","adikro","","",""
"adil","adil","","",""
"adil'","adil'","","",""
"adilabad","adilabad","","",""
"adiller","adiller","","",""
"adilli","adilli","","",""
"adilpur","adilpur","","",""
"adim","adim","","",""
"adima","adima","","",""
"adimi","adimi","","",""
"adimulyo","adimulyo","","",""
"adin","adin","","",""
"adin khel","adin khel","","",""
"adina","adina","","",""
"adinah","adinah","","",""
"adinan","adinan","","",""
"adincata","adincata","","",""
"adineh","adineh","","",""
"ading","ading","","",""
"adinkheyl","adinkheyl","","",""
"adinkheyl'","adinkheyl'","","",""
"adino","adino","","",""
"adinya","adinya","","",""
"adio","adio","","",""
"adios","adios","","",""
"adir","adir","","",""
"adira","adira","","",""
"adirah","adirah","","",""
"adireja","adireja","","",""
"adirejo","adirejo","","",""
"adis","adis","","",""
"adis `alem","adis `alem","","",""
"adis amba","adis amba","","",""
"adisa","adisa","","",""
"adisge","adisge","","",""
"adishchevo","adishchevo","","",""
"adishe","adishe","","",""
"adital","adital","","",""
"adityapur","adityapur","","",""
"adiya","adiya","","",""
"adiyaman","adiyaman","","",""
"adizai","adizai","","",""
"adjama","adjama","","",""
"adjame","adjame","","",""
"adjan","adjan","","",""
"adjap","adjap","","",""
"adjara","adjara","","",""
"adjarra","adjarra","","",""
"adjauru","adjauru","","",""
"adjayo","adjayo","","",""
"adjido","adjido","","",""
"adjigo","adjigo","","",""
"adjiri","adjiri","","",""
"adjoda","adjoda","","",""
"adjohoun","adjohoun","","",""
"adjou","adjou","","",""
"adjunta","adjunta","","",""
"adjuntas","adjuntas","","",""
"adkan","adkan","","",""
"adki","adki","","",""
"adkins","adkins","","",""
"adlauan","adlauan","","",""
"adlawan","adlawan","","",""
"adler","adler","","",""
"adliye","adliye","","",""
"adlye","adlye","","",""
"admal","admal","","",""
"adman","adman","","",""
"admiral","admiral","","",""
"adna","adna","","",""
"adnali","adnali","","",""
"adnaly","adnaly","","",""
"adner","adner","","",""
"adobe","adobe","","",""
"adobes","adobes","","",""
"adobi","adobi","","",""
"adodo","adodo","","",""
"adoe","adoe","","",""
"adogo","adogo","","",""
"adoi","adoi","","",""
"adok","adok","","",""
"adoka","adoka","","",""
"adoke","adoke","","",""
"adol","adol","","",""
"adola","adola","","",""
"adolfin","adolfin","","",""
"adolfo","adolfo","","",""
"adolfo lopez mateos","adolfo lopez mateos","","",""
"adolfo ruiz cortines","adolfo ruiz cortines","","",""
"adolfo ruiz cortinez","adolfo ruiz cortinez","","",""
"adolfovac","adolfovac","","",""
"adolph","adolph","","",""
"adolphus","adolphus","","",""
"adom","adom","","",""
"adoma","adoma","","",""
"adomaiciai","adomaiciai","","",""
"adome","adome","","",""
"adomi","adomi","","",""
"adomiskiai","adomiskiai","","",""
"adon","adon","","",""
"adong","adong","","",""
"adoni","adoni","","",""
"adonis","adonis","","",""
"adonsi","adonsi","","",""
"adope","adope","","",""
"ador","ador","","",""
"adora","adora","","",""
"adorf","adorf","","",""
"adori","adori","","",""
"adoria","adoria","","",""
"adorjanpuszta","adorjanpuszta","","",""
"adorjantanya","adorjantanya","","",""
"ados","ados","","",""
"adou","adou","","",""
"adoua","adoua","","",""
"adoukoue","adoukoue","","",""
"adoukro","adoukro","","",""
"adoum","adoum","","",""
"adouma","adouma","","",""
"adouz","adouz","","",""
"adowa","adowa","","",""
"adowso","adowso","","",""
"adowzi","adowzi","","",""
"adoyevshchina","adoyevshchina","","",""
"adozai","adozai","","",""
"adozi","adozi","","",""
"adra","adra","","",""
"adran","adran","","",""
"adranga","adranga","","",""
"adrano","adrano","","",""
"adranos","adranos","","",""
"adrar","adrar","","",""
"adri","adri","","",""
"adria","adria","","",""
"adrian","adrian","","",""
"adriana","adriana","","",""
"adriano","adriano","","",""
"adrianopol","adrianopol","","",""
"adrianopolis","adrianopolis","","",""
"adrianovka","adrianovka","","",""
"adrianovo","adrianovo","","",""
"adrianovskaya","adrianovskaya","","",""
"adrino","adrino","","",""
"adrovici","adrovici","","",""
"adua","adua","","",""
"aduahensu","aduahensu","","",""
"aduana","aduana","","",""
"aduas","aduas","","",""
"adud","adud","","",""
"aduk","aduk","","",""
"adukrom","adukrom","","",""
"aduku","aduku","","",""
"adum","adum","","",""
"adumadum","adumadum","","",""
"adumasa","adumasa","","",""
"adun","adun","","",""
"adunandra","adunandra","","",""
"adunati","adunati","","",""
"aduni","aduni","","",""
"adupa","adupa","","",""
"adupai","adupai","","",""
"adupay","adupay","","",""
"adupe","adupe","","",""
"adur","adur","","",""
"aduru","aduru","","",""
"adusa","adusa","","",""
"aduyevo","aduyevo","","",""
"aduzai","aduzai","","",""
"adwa","adwa","","",""
"adwajiri","adwajiri","","",""
"adwal","adwal","","",""
"adwumam","adwumam","","",""
"adyap","adyap","","",""
"adyar","adyar","","",""
"adyebe","adyebe","","",""
"adyk","adyk","","",""
"adyr","adyr","","",""
"adzabilone","adzabilone","","",""
"adzap","adzap","","",""
"adzapana","adzapana","","",""
"adze","adze","","",""
"adzhar","adzhar","","",""
"adzhitarovo","adzhitarovo","","",""
"adzi","adzi","","",""
"adziba","adziba","","",""
"adzici","adzici","","",""
"adzuani","adzuani","","",""
"adzuma","adzuma","","",""
"adzuna","adzuna","","",""
"aeba","aeba","","",""
"aechon","aechon","","",""
"aedo","aedo","","",""
"aedong","aedong","","",""
"aegongni","aegongni","","",""
"aek nauli","aek nauli","","",""
"aekao","aekao","","",""
"aekgodang","aekgodang","","",""
"aeknauli","aeknauli","","",""
"aeli","aeli","","",""
"aelst","aelst","","",""
"aenae","aenae","","",""
"aeng","aeng","","",""
"aere","aere","","",""
"aerhshan","aerhshan","","",""
"aerodromnyy","aerodromnyy","","",""
"aeroport","aeroport","","",""
"aesch","aesch","","",""
"aeta","aeta","","",""
"aetna","aetna","","",""
"aetnaville","aetnaville","","",""
"aetochori","aetochori","","",""
"aetochorion","aetochorion","","",""
"aetofolia","aetofolia","","",""
"aetokhori","aetokhori","","",""
"aetokhorion","aetokhorion","","",""
"aetolofos","aetolofos","","",""
"aetopetra","aetopetra","","",""
"aetorrakhi","aetorrakhi","","",""
"aetos","aetos","","",""
"aewolli","aewolli","","",""
"af gudud","af gudud","","",""
"afade","afade","","",""
"afaha","afaha","","",""
"afakituru","afakituru","","",""
"afam","afam","","",""
"afambo","afambo","","",""
"afami","afami","","",""
"afan","afan","","",""
"afana","afana","","",""
"afanasova","afanasova","","",""
"afanasovka","afanasovka","","",""
"afanasovo","afanasovo","","",""
"afanasovskaya","afanasovskaya","","",""
"afanasyeva","afanasyeva","","",""
"afanasyevka","afanasyevka","","",""
"afanas'yevka","afanas'yevka","","",""
"afanasyevo","afanasyevo","","",""
"afanasyevskaya","afanasyevskaya","","",""
"afanasyevskiy","afanasyevskiy","","",""
"afanasyevskoye","afanasyevskoye","","",""
"afandilar","afandilar","","",""
"afang","afang","","",""
"afangbedji","afangbedji","","",""
"afanosovo","afanosovo","","",""
"afanya","afanya","","",""
"afao","afao","","",""
"afaqi","afaqi","","",""
"afara","afara","","",""
"afarin","afarin","","",""
"afat","afat","","",""
"afata","afata","","",""
"afcheh","afcheh","","",""
"afdeling 1","afdeling 1","","",""
"afdeling 2","afdeling 2","","",""
"afdeling 4","afdeling 4","","",""
"afdeling 5","afdeling 5","","",""
"afdeling dua","afdeling dua","","",""
"afdeling empat","afdeling empat","","",""
"afdeling enam","afdeling enam","","",""
"afdeling iii","afdeling iii","","",""
"afdeling lima","afdeling lima","","",""
"afdeling satu","afdeling satu","","",""
"afdeling tiga","afdeling tiga","","",""
"afdzalkhel","afdzalkhel","","",""
"afem","afem","","",""
"afensou","afensou","","",""
"afere","afere","","",""
"aferi","aferi","","",""
"aferovo","aferovo","","",""
"aferyevskaya","aferyevskaya","","",""
"aferzaz","aferzaz","","",""
"afeyi","afeyi","","",""
"affalterbach","affalterbach","","",""
"afferde","afferde","","",""
"afferden","afferden","","",""
"affere","affere","","",""
"affonso penna","affonso penna","","",""
"afgan","afgan","","",""
"afghanabad","afghanabad","","",""
"afgooye","afgooye","","",""
"afia","afia","","",""
"afia isong","afia isong","","",""
"afidegnigba","afidegnigba","","",""
"afidegnigban","afidegnigban","","",""
"afidenigba","afidenigba","","",""
"afife","afife","","",""
"afifi","afifi","","",""
"afimino","afimino","","",""
"afin","afin","","",""
"afineyevo","afineyevo","","",""
"afini","afini","","",""
"afir","afir","","",""
"afissos","afissos","","",""
"afka","afka","","",""
"afk'era","afk'era","","",""
"aflaj","aflaj","","",""
"aflak","aflak","","",""
"afling","afling","","",""
"afoda","afoda","","",""
"afogba","afogba","","",""
"afole","afole","","",""
"afommanchim","afommanchim","","",""
"afon","afon","","",""
"afonasovo","afonasovo","","",""
"afonasyevo","afonasyevo","","",""
"afonasyevskiy","afonasyevskiy","","",""
"afonikha","afonikha","","",""
"afonina","afonina","","",""
"afonino","afonino","","",""
"afoninskaya","afoninskaya","","",""
"afonintsy","afonintsy","","",""
"afonkina","afonkina","","",""
"afonkino","afonkino","","",""
"afono","afono","","",""
"afonosovo","afonosovo","","",""
"afonsim","afonsim","","",""
"afonso","afonso","","",""
"afonso pena","afonso pena","","",""
"aforenu","aforenu","","",""
"afors","afors","","",""
"a daigne","a daigne","","",""
"a dos francos","a dos francos","","",""
"a i afjord","a i afjord","","",""
"a`zam kala","a`zam kala","","",""
"a`zamabad","a`zamabad","","",""
"aaba","aaba","","",""
"aabba","aabba","","",""
"aabbassiye","aabbassiye","","",""
"aabboudiye","aabboudiye","","",""
"aabdine","aabdine","","",""
"aabla","aabla","","",""
"aabol","aabol","","",""
"aabra","aabra","","",""
"aaby","aaby","","",""
"aach","aach","","",""
"aagerup","aagerup","","",""
"aajami","aajami","","",""
"aaker","aaker","","",""
"aakkari","aakkari","","",""
"aakre","aakre","","",""
"aakvik","aakvik","","",""
"aalbaek","aalbaek","","",""
"aale","aale","","",""
"aalebaek","aalebaek","","",""
"aalen","aalen","","",""
"aaliye","aaliye","","",""
"aalma","aalma","","",""
"aalmane","aalmane","","",""
"aalqine","aalqine","","",""
"aalst","aalst","","",""
"aalstrup","aalstrup","","",""
"aalsum","aalsum","","",""
"a'ama","a'ama","","",""
"aamba","aamba","","",""
"aamland","aamland","","",""
"aammiq","aammiq","","",""
"aamot","aamot","","",""
"aamoud","aamoud","","",""
"aamoudiye","aamoudiye","","",""
"aamra","aamra","","",""
"aanes","aanes","","",""
"aannaze","aannaze","","",""
"aanstad","aanstad","","",""
"aantoura","aantoura","","",""
"aaouas","aaouas","","",""
"aaoueinate","aaoueinate","","",""
"aapajarvi","aapajarvi","","",""
"aaqoula","aaqoula","","",""
"aaqraba","aaqraba","","",""
"aard","aard","","",""
"aardal","aardal","","",""
"aarestrup","aarestrup","","",""
"aarida","aarida","","",""
"aarle","aarle","","",""
"aarne","aarne","","",""
"aarnes","aarnes","","",""
"aaro","aaro","","",""
"aaron","aaron","","",""
"aarqoub","aarqoub","","",""
"aarslev","aarslev","","",""
"aarstad","aarstad","","",""
"aarstein","aarstein","","",""
"aart","aart","","",""
"aarup","aarup","","",""
"aarvik","aarvik","","",""
"aase","aase","","",""
"aasen","aasen","","",""
"aasland","aasland","","",""
"aast","aast","","",""
"aasted","aasted","","",""
"aastrup","aastrup","","",""
"aasu","aasu","","",""
"aasuvalja","aasuvalja","","",""
"aatchane","aatchane","","",""
"aavere","aavere","","",""
"aaviku","aaviku","","",""
"aaziziye","aaziziye","","",""
"ab ambar","ab ambar","","",""
"ab anar","ab anar","","",""
"ab anarak","ab anarak","","",""
"ab anbar","ab anbar","","",""
"ab anjir","ab anjir","","",""
"ab anjirak","ab anjirak","","",""
"ab bad","ab bad","","",""
"ab bakhshan","ab bakhshan","","",""
"ab band","ab band","","",""
"ab bar","ab bar","","",""
"ab barik","ab barik","","",""
"ab barik `olya","ab barik `olya","","",""
"ab barik sofla","ab barik sofla","","",""
"ab barik-e `olya","ab barik-e `olya","","",""
"ab barik-e bala","ab barik-e bala","","",""
"ab barik-e pa'in","ab barik-e pa'in","","",""
"ab barik-e sofla","ab barik-e sofla","","",""
"ab bid","ab bid","","",""
"ab bordeh","ab bordeh","","",""
"ab chekan","ab chekan","","",""
"ab chenar","ab chenar","","",""
"ab chenaru","ab chenaru","","",""
"ab chendar","ab chendar","","",""
"ab damil","ab damil","","",""
"ab darah","ab darah","","",""
"ab daraz","ab daraz","","",""
"ab darreh","ab darreh","","",""
"ab deraz","ab deraz","","",""
"ab garm","ab garm","","",""
"ab garmak","ab garmak","","",""
"ab garmak-e `olya","ab garmak-e `olya","","",""
"ab garmak-e bala","ab garmak-e bala","","",""
"ab garmak-e sofla","ab garmak-e sofla","","",""
"ab garmu","ab garmu","","",""
"ab gazan","ab gazan","","",""
"ab gerd","ab gerd","","",""
"ab gerdu","ab gerdu","","",""
"ab jahan","ab jahan","","",""
"ab kaseh","ab kaseh","","",""
"ab khanah","ab khanah","","",""
"ab khvorak","ab khvorak","","",""
"ab konar","ab konar","","",""
"ab mahi","ab mahi","","",""
"ab mar","ab mar","","",""
"ab mazar","ab mazar","","",""
"ab nar","ab nar","","",""
"ab nik","ab nik","","",""
"ab paran","ab paran","","",""
"ab qal`eh","ab qal`eh","","",""
"ab qol","ab qol","","",""
"ab sard","ab sard","","",""
"ab sardeh","ab sardeh","","",""
"ab sarina","ab sarina","","",""
"ab sarinah","ab sarinah","","",""
"ab sefid","ab sefid","","",""
"ab shirin","ab shirin","","",""
"ab talkh","ab talkh","","",""
"ab torsh","ab torsh","","",""
"ab zalu","ab zalu","","",""
"aba","aba","","",""
"aba gerima","aba gerima","","",""
"aba golja ager","aba golja ager","","",""
"aba khel","aba khel","","",""
"aba nla","aba nla","","",""
"abab","abab","","",""
"ababa","ababa","","",""
"ababi","ababi","","",""
"ababkovo","ababkovo","","",""
"ababurovo","ababurovo","","",""
"abaca","abaca","","",""
"abacate","abacate","","",""
"abacca","abacca","","",""
"abach","abach","","",""
"abacilar","abacilar","","",""
"abacken","abacken","","",""
"abad","abad","","",""
"abad khel","abad khel","","",""
"abada","abada","","",""
"abadam","abadam","","",""
"abadan","abadan","","",""
"abade","abade","","",""
"abadeh","abadeh","","",""
"abades","abades","","",""
"abadi","abadi","","",""
"abadia","abadia","","",""
"abadiano","abadiano","","",""
"abadla","abadla","","",""
"abado","abado","","",""
"abadou","abadou","","",""
"abadpur","abadpur","","",""
"abaete","abaete","","",""
"abaga","abaga","","",""
"abagao","abagao","","",""
"abagolja ager","abagolja ager","","",""
"abagu","abagu","","",""
"abai","abai","","",""
"abaira","abaira","","",""
"abaja","abaja","","",""
"abaji","abaji","","",""
"abajo","abajo","","",""
"abak","abak","","",""
"abaka","abaka","","",""
"abakanovo","abakanovo","","",""
"abakodu","abakodu","","",""
"abakolawewa","abakolawewa","","",""
"abakonovo","abakonovo","","",""
"abakpa","abakpa","","",""
"abakro","abakro","","",""
"abakshino","abakshino","","",""
"abaku","abaku","","",""
"abakuasimbo","abakuasimbo","","",""
"abakuba","abakuba","","",""
"abakumovka","abakumovka","","",""
"abakumovo","abakumovo","","",""
"abakwasimbo","abakwasimbo","","",""
"abal","abal","","",""
"abala","abala","","",""
"abalak","abalak","","",""
"abalakova","abalakova","","",""
"abalakovo","abalakovo","","",""
"abalang","abalang","","",""
"abalduyevka","abalduyevka","","",""
"abale","abale","","",""
"abali","abali","","",""
"abalo","abalo","","",""
"abalos","abalos","","",""
"abam","abam","","",""
"abama","abama","","",""
"abambres","abambres","","",""
"aban","aban","","",""
"abana","abana","","",""
"abanase","abanase","","",""
"abanasi","abanasi","","",""
"abancourt","abancourt","","",""
"aband","aband","","",""
"abanda","abanda","","",""
"abane","abane","","",""
"abanengo","abanengo","","",""
"abang","abang","","",""
"abang i","abang i","","",""
"abang ii","abang ii","","",""
"abanga","abanga","","",""
"abangay","abangay","","",""
"abango","abango","","",""
"abani","abani","","",""
"abanico","abanico","","",""
"abankrom","abankrom","","",""
"abanla","abanla","","",""
"abano","abano","","",""
"abanusi","abanusi","","",""
"abar","abar","","",""
"abara","abara","","",""
"abarahaiin hural","abarahaiin hural","","",""
"abarahaiin sume","abarahaiin sume","","",""
"abaran","abaran","","",""
"abarca","abarca","","",""
